CFR Part,Name of the Part,Year,Next.Edition,Name of the Part (Next Edition),lv_distances,presumed_same,same_next_edition
205,Purchase of warrants,1959,1963,Purchase of warrants.,1,TRUE,205
206,Trust powers of national banks,1959,1963,NA,NA,NA,NA
207,Collection of noncash items,1959,1963,Collection of noncash items.,1,TRUE,207
208,Membership of State banking institutions in the Federal Reserve System,1959,1963,Membership of State banking institutions in the Federal Reserve System.,1,TRUE,208
209,Issue and cancellation of capital stock of Federal Reserve banks,1959,1963,Issue and cancellation of capital stock of Federal Reserve banks.,1,TRUE,209
210,Check clearing and collection,1959,1963,Check clearing and collection.,1,TRUE,210
211,Corporations doing foreign banking or other foreign financing under the Federal Reserve Act,1959,1963,Corporations doing foreign banking or other foreign financing under the Federal Reserve Act.,1,TRUE,211
212,Interlocking bank directorates under the Clayton Act,1959,1963,Interlocking bank directorates under the Clayton Act.,1,TRUE,212
213,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act",1959,1963,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act.",1,TRUE,213
214,Relations with foreign banks and bankers,1959,1963,Relations with foreign banks and bankers.,1,TRUE,214
215,Loans to executive officers of member banks,1959,1963,Loans to executive officers of member banks.,1,TRUE,215
216,Holding company affiliates; voting permits,1959,1963,Holding company affiliates; voting permits.,1,TRUE,216
217,Payment of interest on deposits,1959,1963,Payment of interest on deposits.,1,TRUE,217
218,"Relations with dealers in securities under section 32, Banking Act of 1933",1959,1963,"Relations with dealers in securities under section 32, Banking Act of 1933.",1,TRUE,218
219,Industrial loans by Federal Reserve banks,1959,1963,NA,NA,NA,NA
220,"Credit by brokers, dealers, and members of national securities exchanges",1959,1963,"Credit by brokers, dealers, and members of national securities exchanges.",1,TRUE,220
221,Loans by banks for the purpose of purchasing or carrying registered stocks,1959,1963,Loans by banks for the purpose of purchasing or carrying registered stocks.,1,TRUE,221
222,Bank holding companies,1959,1963,Bank holding companies.,1,TRUE,222
224,Discount rates,1959,1963,Discount rates.,1,TRUE,224
261,"Information, submittals or requests",1959,1963,"Rules regarding information, submittals, and requests.",22,FALSE,261
262,Rules of procedure,1959,1963,Rules of procedure.,1,TRUE,262
263,Rules of practice for formal hearings,1959,1963,Rules of practice for formal hearings.,1,TRUE,263
270,Open market operations of Federal Reserve Banks,1959,1963,Open market operations of Federal Reserve Banks.,1,TRUE,270
271,"Information, submittals or requests",1959,1963,"Rules regarding information, submittals, and requests.",22,FALSE,271
272,Rules on procedure,1959,1963,Rules of procedure.,2,TRUE,272
281,Statements of policy,1959,1963,Statements of policy.,1,TRUE,281
285,Edge case number two,1959,1963,Edge case number two,0,TRUE,285
286,Edge case number one,1959,1963,Edge case number one,0,TRUE,286
